date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:33	402620/402620	U-----	200	untouched ('')	application/javascript	etag:%22624bc-5a71d134fd9f2-gzip%22	https://sparkden.com/wp-content/themes/Divi/js/custom.unified.js?ver=4.4.5	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/js/custom.unified4235.js	(from https://sparkden.com/)
21:13:34	1434/1434	U-----	200	untouched ('')	application/javascript	etag:%2259a-595cdfcf06300-gzip%22	https://sparkden.com/wp-includes/js/wp-embed.min.js?ver=5.5.1	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-includes/js/wp-embed.mind03b.js	(from https://sparkden.com/)
21:14:04	92476/92476	U-----	200	untouched ('')	application/x-font-woff	etag:%221693c-5a71d134fbab1%22	https://sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.woff	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.woff	(from https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5)
21:14:04	92400/92400	U-----	200	untouched ('')	application/x-font-ttf	etag:%22168f0-5a71d134fb6c9%22	https://sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.ttf	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.ttf	(from https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5)
21:14:04	92564/92564	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2216994-5a71d134fb6c9-gzip%22	https://sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.eot	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.eot	(from https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5)
21:14:06	92564/92564	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%2216994-5a71d134fb6c9-gzip%22	https://sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.eot?	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/core/admin/fonts/modulesd41d.eot	(from https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5)
21:14:29	17119/17119	U-----	200	untouched ('')	image/png	etag:%2242df-5a71d134f0315%22	https://sparkden.com/wp-content/themes/Divi/epanel/shortcodes/images/shortcodes-sprite.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/epanel/shortcodes/images/shortcodes-sprite.png	(from https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5)
21:14:29	301078/301078	U-----	200	untouched ('OK')	image/svg+xml	etag:%2249816-5a71d134fbab1%22	https://sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.svg	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/core/admin/fonts/modules.svg	(from https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5)
21:14:29	9427/9427	U-----	200	untouched ('')	image/gif	etag:%2224d3-5a71d134c7e7d%22	https://sparkden.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5)
21:14:29	1422/1422	U-----	200	untouched ('')	image/gif	etag:%2258e-5a71d134c7e7d%22	https://sparkden.com/wp-content/themes/Divi/includes/builder/styles/images/subscribe-loader.gif	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/includes/builder/styles/images/subscribe-loader.gif	(from https://sparkden.com/wp-content/themes/Divi/style.css?ver=4.4.5)
